,Alert,Coordinates,CDI,Code,Detail,Depth,Magnitude,Waveform,ID,Felt,Gap,MMI,Net,NST,RMS,Place,Sig,Sources,Status,Time,Title,Tsunami,Type,TZ,Updated,URL
1931,,"[-147.1221, 68.4918, 5.5]",,0191762l3l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191762l3l&format=geojson,,1.3,ml,",ak0191762l3l,",,,,ak,,0.65,"77km WNW of Arctic Village, Alaska",26,",ak,",reviewed,1548498278231,"M 1.3 - 77km WNW of Arctic Village, Alaska",0,earthquake,-540.0,1549300880585,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191762l3l
1932,,"[-148.335, 64.0812, 8.4]",,0191762i6l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191762i6l&format=geojson,,1.1,ml,",ak0191762i6l,",,,,ak,,0.48,"39km NE of Healy, Alaska",19,",ak,",reviewed,1548498242523,"M 1.1 - 39km NE of Healy, Alaska",0,earthquake,-540.0,1549300879865,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191762i6l
1933,,"[-144.636, 69.5289, 7.4]",,0191760sl4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191760sl4&format=geojson,,1.9,ml,",ak0191760sl4,",,,,ak,,0.54,"77km SSW of Kaktovik, Alaska",56,",ak,",reviewed,1548497763124,"M 1.9 - 77km SSW of Kaktovik, Alaska",0,earthquake,-540.0,1549300909905,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191760sl4
1934,,"[-116.7001667, 33.6208333, 11.9]",,38205927,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205927&format=geojson,0.06338,1.9,ml,",ci38205927,",,25.0,,ci,68.0,0.19,"8km NNW of Anza, CA",56,",ci,",reviewed,1548497495540,"M 1.9 - 8km NNW of Anza, CA",0,earthquake,-480.0,1548687444940,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205927
1935,,"[-149.9189, 61.4703, 35.1]",,019175zqlh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175zqlh&format=geojson,,1.3,ml,",ak019175zqlh,",,,,ak,,0.59,"5km SSE of Big Lake, Alaska",26,",ak,",reviewed,1548497471879,"M 1.3 - 5km SSE of Big Lake, Alaska",0,earthquake,-540.0,1549300879133,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175zqlh
1936,,"[-147.1359, 63.6395, 85.7]",,019175zauk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175zauk&format=geojson,,1.3,ml,",ak019175zauk,",,,,ak,,0.67,"82km WSW of Delta Junction, Alaska",26,",ak,",reviewed,1548497346682,"M 1.3 - 82km WSW of Delta Junction, Alaska",0,earthquake,-540.0,1549300909215,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175zauk
1937,,"[-147.8923, 62.1492, 31.2]",,019175lgv7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175lgv7&format=geojson,,1.7,ml,",ak019175lgv7,",,,,ak,,0.76,"63km NE of Sutton-Alpine, Alaska",44,",ak,",reviewed,1548495893552,"M 1.7 - 63km NE of Sutton-Alpine, Alaska",0,earthquake,-540.0,1549300878338,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175lgv7
1938,,"[-179.7415, -23.104, 545.27]",,2000j95f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j95f&format=geojson,5.718,4.7,mb,",us2000j95f,",,81.0,,us,,0.95,"292km SSW of Ndoi Island, Fiji",340,",us,",reviewed,1548494430100,"M 4.7 - 292km SSW of Ndoi Island, Fiji",0,earthquake,-720.0,1555089322040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j95f
1939,,"[-115.743, 38.3968, 13.9]",,00675744,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00675744&format=geojson,0.133,1.1,ml,",nn00675744,",,264.52,,nn,7.0,0.1367,"44km SSW of Currant, Nevada",19,",nn,",reviewed,1548494310408,"M 1.1 - 44km SSW of Currant, Nevada",0,earthquake,-480.0,1548534991607,https://earthquake.usgs.gov/earthquakes/eventpage/nn00675744
1940,,"[-66.8285, 18.6318, 122]",,2019026006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019026006&format=geojson,0.5236,2.63,md,",pr2019026006,",,307.0,,pr,3.0,0.04,"16km N of Hatillo, Puerto Rico",106,",pr,",reviewed,1548494211680,"M 2.6 - 16km N of Hatillo, Puerto Rico",0,earthquake,-240.0,1548503855661,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019026006
1941,,"[-68.5126, 18.9271, 103]",,2019026007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019026007&format=geojson,0.4335,2.89,md,",pr2019026007,us2000j961,",,205.0,,pr,11.0,0.51,"24km ESE of Miches, Dominican Republic",128,",pr,us,",reviewed,1548493951140,"M 2.9 - 24km ESE of Miches, Dominican Republic",0,earthquake,-240.0,1555089324040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019026007
1942,,"[-121.3221667, 36.6835, 4.09]",,73136716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136716&format=geojson,0.07274,1.48,md,",nc73136716,",,104.0,,nc,29.0,0.09,"12km S of Tres Pinos, CA",34,",nc,",reviewed,1548493706580,"M 1.5 - 12km S of Tres Pinos, CA",0,earthquake,-480.0,1549518124072,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136716
1943,,"[-117.6745, 35.7886667, 8.07]",,38205903,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205903&format=geojson,0.06817,1.19,ml,",ci38205903,",,64.0,,ci,26.0,0.12,"19km N of Ridgecrest, CA",22,",ci,",reviewed,1548493483370,"M 1.2 - 19km N of Ridgecrest, CA",0,earthquake,-480.0,1548693706314,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205903
1944,,"[-149.1004, 62.4029, 39.6]",,019175c12b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175c12b&format=geojson,,1.4,ml,",ak019175c12b,",,,,ak,,0.45,"47km NE of Y, Alaska",30,",ak,",reviewed,1548493270384,"M 1.4 - 47km NE of Y, Alaska",0,earthquake,-540.0,1549300876959,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175c12b
1945,,"[-147.1157, 68.4971, 0.9]",,019175c0ey,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175c0ey&format=geojson,,0.8,ml,",ak019175c0ey,",,,,ak,,0.48,"77km WNW of Arctic Village, Alaska",10,",ak,",reviewed,1548493240052,"M 0.8 - 77km WNW of Arctic Village, Alaska",0,earthquake,-540.0,1549300877659,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175c0ey
1946,,"[-116.4696667, 34.3526667, 9.79]",,38205895,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205895&format=geojson,0.09446,1.27,ml,",ci38205895,",,66.0,,ci,41.0,0.14,"27km N of Yucca Valley, CA",25,",ci,",reviewed,1548493037350,"M 1.3 - 27km N of Yucca Valley, CA",0,earthquake,-480.0,1548693493446,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205895
1947,,"[-111.5893333, 41.0791667, 0.79]",,60310502,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60310502&format=geojson,0.1424,0.89,ml,",uu60310502,",,117.0,,uu,12.0,0.22,"8km ENE of Morgan, Utah",12,",uu,",reviewed,1548492936660,"M 0.9 - 8km ENE of Morgan, Utah",0,earthquake,-420.0,1548542787040,https://earthquake.usgs.gov/earthquakes/eventpage/uu60310502
1948,,"[-178.4419, 51.7479, 23.4]",,01917524fl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak01917524fl&format=geojson,,1.8,ml,",ak01917524fl,",,,,ak,,0.28,"25km SW of Tanaga Volcano, Alaska",50,",ak,",reviewed,1548492886466,"M 1.8 - 25km SW of Tanaga Volcano, Alaska",0,earthquake,-600.0,1549300876333,https://earthquake.usgs.gov/earthquakes/eventpage/ak01917524fl
1949,,"[-149.9574, 61.415, 38.4]",2.2,019175235j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019175235j&format=geojson,,2.7,ml,",ak019175235j,us2000j95c,",5.0,,,ak,,0.57,"11km S of Big Lake, Alaska",113,",ak,us,",reviewed,1548492851564,"M 2.7 - 11km S of Big Lake, Alaska",0,earthquake,-540.0,1555089322040,https://earthquake.usgs.gov/earthquakes/eventpage/ak019175235j
1950,,"[-149.0187, 64.0218, 14]",,0191751v7e,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191751v7e&format=geojson,,1.5,ml,",ak0191751v7e,",,,,ak,,0.4,"18km N of Healy, Alaska",35,",ak,",reviewed,1548492787556,"M 1.5 - 18km N of Healy, Alaska",0,earthquake,-540.0,1549300874686,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191751v7e
1951,,"[-116.7986667, 33.513, 4.68]",,38205887,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205887&format=geojson,0.00154,0.28,ml,",ci38205887,",,57.0,,ci,25.0,0.14,"10km NE of Aguanga, CA",1,",ci,",reviewed,1548492669200,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake,-480.0,1548692781780,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205887
1952,,"[-154.4775, 58.8734, 129.7]",,0191750wcy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191750wcy&format=geojson,,1.9,ml,",ak0191750wcy,",,,,ak,,0.45,"100km SSE of Old Iliamna, Alaska",56,",ak,",reviewed,1548492535864,"M 1.9 - 100km SSE of Old Iliamna, Alaska",0,earthquake,-540.0,1549300908489,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191750wcy
1953,,"[-151.2224, 63.4126, 11.4]",,0191750n85,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191750n85&format=geojson,,1.6,ml,",ak0191750n85,",,,,ak,,0.41,"113km W of Cantwell, Alaska",39,",ak,",reviewed,1548492457232,"M 1.6 - 113km W of Cantwell, Alaska",0,earthquake,-540.0,1549300873978,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191750n85
1954,,"[-147.4979, 64.987, 6.6]",,019174zlwg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174zlwg&format=geojson,,0.7,ml,",ak019174zlwg,",,,,ak,,0.36,"19km NNE of Fairbanks, Alaska",8,",ak,",reviewed,1548492173534,"M 0.7 - 19km NNE of Fairbanks, Alaska",0,earthquake,-540.0,1549300873280,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174zlwg
1955,,"[-122.7821667, 38.7918333, 1.62]",,73136701,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136701&format=geojson,0.004691,1.38,md,",nc73136701,",,75.0,,nc,29.0,0.04,"3km NW of The Geysers, CA",29,",nc,",reviewed,1548492170830,"M 1.4 - 3km NW of The Geysers, CA",0,earthquake,-480.0,1549513204590,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136701
1956,,"[-152.2717, 59.8193, 74.8]",,019174zkpt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174zkpt&format=geojson,,2.3,ml,",ak019174zkpt,",,,,ak,,0.47,"25km W of Anchor Point, Alaska",81,",ak,",reviewed,1548492159410,"M 2.3 - 25km W of Anchor Point, Alaska",0,earthquake,-600.0,1549300872433,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174zkpt
1957,,"[-114.2286667, 37.5008333, 3.65]",,60017179,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60017179&format=geojson,0.2983,0.51,md,",nn00675733,uu60017179,",,191.0,,uu,6.0,0.08,"28km ESE of Caliente, Nevada",4,",nn,uu,",reviewed,1548491997210,"M 0.5 - 28km ESE of Caliente, Nevada",0,earthquake,-480.0,1548690193010,https://earthquake.usgs.gov/earthquakes/eventpage/uu60017179
1958,,"[-122.0511667, 37.9713333, 13.61]",,73136686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136686&format=geojson,0.06205,1.43,md,",nc73136686,",,75.0,,nc,32.0,0.16,"2km ESE of Pacheco, CA",31,",nc,",reviewed,1548491588220,"M 1.4 - 2km ESE of Pacheco, CA",0,earthquake,-480.0,1549514882738,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136686
1959,,"[-122.7576667, 38.7913333, 3.59]",,73136676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136676&format=geojson,0.01825,0.5,md,",nc73136676,",,104.0,,nc,16.0,0.03,"2km N of The Geysers, CA",4,",nc,",reviewed,1548491324480,"M 0.5 - 2km N of The Geysers, CA",0,earthquake,-480.0,1549511644407,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136676
1960,,"[-122.7548333, 38.7928333, 3.47]",,73136671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136671&format=geojson,0.01709,0.92,md,",nc73136671,",,74.0,,nc,21.0,0.04,"2km N of The Geysers, CA",13,",nc,",reviewed,1548491007380,"M 0.9 - 2km N of The Geysers, CA",0,earthquake,-480.0,1550281024701,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136671
1961,green,"[142.2224, 40.3332, 48.24]",4.3,2000j94y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j94y&format=geojson,0.992,5.5,mww,",us2000j94y,",20.0,90.0,3.779,us,,0.67,"64km ESE of Hachinohe, Japan",474,",us,",reviewed,1548490983140,"M 5.5 - 64km ESE of Hachinohe, Japan",0,earthquake,540.0,1555089320040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j94y
1962,,"[-115.9295, 36.5836, 9.1]",,00675726,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00675726&format=geojson,0.152,0.1,ml,",nn00675726,",,248.19,,nn,13.0,0.1864,"41km N of Pahrump, Nevada",0,",nn,",reviewed,1548490893956,"M 0.1 - 41km N of Pahrump, Nevada",0,earthquake,-480.0,1548533699155,https://earthquake.usgs.gov/earthquakes/eventpage/nn00675726
1963,,"[-149.9003, 61.4992, 40.3]",,019174ugh6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174ugh6&format=geojson,,2.0,ml,",ak019174ugh6,",,,,ak,,0.48,"3km SE of Big Lake, Alaska",62,",ak,",reviewed,1548490731234,"M 2.0 - 3km SE of Big Lake, Alaska",0,earthquake,-540.0,1549300871670,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174ugh6
1964,,"[-150.0474, 61.3816, 40.1]",,019174udo9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174udo9&format=geojson,,2.0,ml,",ak019174udo9,",,,,ak,,0.46,"16km SSW of Big Lake, Alaska",62,",ak,",reviewed,1548490694880,"M 2.0 - 16km SSW of Big Lake, Alaska",0,earthquake,-540.0,1549300870871,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174udo9
1965,,"[-152.8026, 60.7464, 12.8]",,019174t6j0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174t6j0&format=geojson,,0.8,ml,",ak019174t6j0,av70820464,",,,,ak,,0.44,"30km NNW of Redoubt Volcano, Alaska",10,",ak,av,",reviewed,1548490377103,"M 0.8 - 30km NNW of Redoubt Volcano, Alaska",0,earthquake,-540.0,1557976792340,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174t6j0
1966,green,"[133.7648, -5.4962, 10]",5.4,2000j94v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j94v&format=geojson,2.973,5.9,mww,",us2000j94v,",1.0,19.0,4.352,us,,0.85,"58km WNW of Dobo, Indonesia",536,",us,",reviewed,1548490368680,"M 5.9 - 58km WNW of Dobo, Indonesia",1,earthquake,540.0,1555089320040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j94v
1967,,"[-150.0376, 61.3603, 38.7]",,019174sqrk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174sqrk&format=geojson,,1.7,ml,",ak019174sqrk,",,,,ak,,0.58,"17km NNW of Anchorage, Alaska",44,",ak,",reviewed,1548490251659,"M 1.7 - 17km NNW of Anchorage, Alaska",0,earthquake,-540.0,1549300869480,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174sqrk
1968,,"[-116.799, 33.5088333, 4.13]",,38205871,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205871&format=geojson,0.003703,0.62,ml,",ci38205871,",,59.0,,ci,24.0,0.17,"10km NE of Aguanga, CA",6,",ci,",reviewed,1548490242100,"M 0.6 - 10km NE of Aguanga, CA",0,earthquake,-480.0,1548687452310,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205871
1969,,"[-117.5711667, 35.7551667, 9.22]",,38205863,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205863&format=geojson,0.06413,1.55,ml,",ci38205863,",,66.0,,ci,30.0,0.15,"15km W of Searles Valley, CA",37,",ci,",reviewed,1548489944690,"M 1.6 - 15km W of Searles Valley, CA",0,earthquake,-480.0,1548692654590,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205863
1970,,"[-150.0635, 61.3674, 44.5]",,019174hl7w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174hl7w&format=geojson,,1.1,ml,",ak019174hl7w,",,,,ak,,0.52,"18km NNW of Anchorage, Alaska",19,",ak,",reviewed,1548489526848,"M 1.1 - 18km NNW of Anchorage, Alaska",0,earthquake,-540.0,1549300907831,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174hl7w
1971,,"[-118.9105, 37.9615, 7.77]",,73136666,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136666&format=geojson,0.1448,1.12,md,",nn00675657,nc73136666,",,204.0,,nc,17.0,0.05,"18km E of Lee Vining, CA",19,",nn,nc,",reviewed,1548489415780,"M 1.1 - 18km E of Lee Vining, CA",0,earthquake,-480.0,1555723851140,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136666
1972,,"[-166.7836, 53.1159, 31.17]",,2000jd7g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jd7g&format=geojson,0.695,2.5,ml,",ak019174h3s7,us2000jd7g,",,261.0,,us,,0.3,"85km S of Unalaska, Alaska",96,",ak,us,",reviewed,1548489381470,"M 2.5 - 85km S of Unalaska, Alaska",0,earthquake,-660.0,1555089381040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jd7g
1973,,"[-71.5357, -30.0543, 57.62]",,2000j94t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j94t&format=geojson,0.291,4.4,mb,",us2000j94t,",,128.0,,us,,0.78,"21km WSW of Coquimbo, Chile",298,",us,",reviewed,1548488934120,"M 4.4 - 21km WSW of Coquimbo, Chile",0,earthquake,-240.0,1555089319040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j94t
1974,,"[-147.3165, 61.6613, 33.9]",,019174dav1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019174dav1&format=geojson,,1.4,ml,",ak019174dav1,",,,,ak,,0.6,"78km NW of Valdez, Alaska",30,",ak,",reviewed,1548488328841,"M 1.4 - 78km NW of Valdez, Alaska",0,earthquake,-540.0,1549300868158,https://earthquake.usgs.gov/earthquakes/eventpage/ak019174dav1
1975,,"[-66.1393, 17.7995, 15]",,2019026005,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019026005&format=geojson,0.169,1.31,md,",pr2019026005,",,265.0,,pr,4.0,0.24,"17km S of Jobos, Puerto Rico",26,",pr,",reviewed,1548487963380,"M 1.3 - 17km S of Jobos, Puerto Rico",0,earthquake,-240.0,1548503722397,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019026005
1976,,"[-122.558, 44.2905, 63.1]",,61510082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61510082&format=geojson,,1.57,ml,",uw61510082,",,61.0,,uw,20.0,0.24,"18km SE of Sweet Home, Oregon",38,",uw,",reviewed,1548487806800,"M 1.6 - 18km SE of Sweet Home, Oregon",0,earthquake,-480.0,1548641271480,https://earthquake.usgs.gov/earthquakes/eventpage/uw61510082
1977,,"[-117.7683333, 36.0271667, 1.28]",,38205839,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205839&format=geojson,0.003165,0.41,ml,",ci38205839,",,127.0,,ci,9.0,0.25,"16km NE of Little Lake, CA",3,",ci,",reviewed,1548487423820,"M 0.4 - 16km NE of Little Lake, CA",0,earthquake,-480.0,1548691945278,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205839
1978,,"[-105.6586, 35.7751, 3.5]",2.0,2000j94r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j94r&format=geojson,1.053,2.9,ml,",us2000j94r,",8.0,85.0,,us,,0.4,"22km N of Pecos, New Mexico",131,",us,",reviewed,1548487313730,"M 2.9 - 22km N of Pecos, New Mexico",0,earthquake,-420.0,1555089318040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j94r
1979,,"[-117.7735, 36.0238333, 2.01]",,38205831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205831&format=geojson,0.006819,0.61,ml,",ci38205831,",,125.0,,ci,11.0,0.15,"15km NE of Little Lake, CA",6,",ci,",reviewed,1548487264110,"M 0.6 - 15km NE of Little Lake, CA",0,earthquake,-480.0,1548691457129,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205831
1980,,"[-159.0717, 55.6132, 48.5]",,0191748yy1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191748yy1&format=geojson,,2.6,ml,",ak0191748yy1,us2000jd7p,",,,,ak,,0.34,"74km SSW of Chignik Lake, Alaska",104,",ak,us,",reviewed,1548487105694,"M 2.6 - 74km SSW of Chignik Lake, Alaska",0,earthquake,-540.0,1555089381040,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191748yy1
1981,,"[-155.3396667, 58.1721667, 1.82]",,70820449,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70820449&format=geojson,0.03844,-0.18,ml,",av70820449,",,247.0,,av,4.0,0.07,"96km SE of King Salmon, Alaska",0,",av,",reviewed,1548486869780,"M -0.2 - 96km SE of King Salmon, Alaska",0,earthquake,-540.0,1557976787040,https://earthquake.usgs.gov/earthquakes/eventpage/av70820449
1982,,"[-120.3248333, 35.7943333, 4.15]",,73136651,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73136651&format=geojson,0.0246,0.89,md,",nc73136651,",,117.0,,nc,33.0,0.07,"8km NNW of Cholame, CA",12,",nc,",reviewed,1548486571990,"M 0.9 - 8km NNW of Cholame, CA",0,earthquake,-480.0,1549510143257,https://earthquake.usgs.gov/earthquakes/eventpage/nc73136651
1983,,"[-149.3679, 61.3008, 34.1]",,0191746uxz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191746uxz&format=geojson,,1.8,ml,",ak0191746uxz,",,,,ak,,0.38,"26km SSE of Knik-Fairview, Alaska",50,",ak,",reviewed,1548486521671,"M 1.8 - 26km SSE of Knik-Fairview, Alaska",0,earthquake,-540.0,1549300867404,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191746uxz
1984,,"[-116.3533333, 33.2568333, 4.63]",,38205823,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205823&format=geojson,0.05467,0.83,ml,",ci38205823,",,51.0,,ci,39.0,0.18,"2km E of Borrego Springs, CA",11,",ci,",reviewed,1548486195150,"M 0.8 - 2km E of Borrego Springs, CA",0,earthquake,-480.0,1548692113876,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205823
1985,,"[-68.617, 18.2198, 87]",,2019026004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019026004&format=geojson,1.5224,2.79,md,",pr2019026004,us2000j960,",,210.0,,pr,8.0,0.44,"21km SSW of Boca de Yuma, Dominican Republic",120,",pr,us,",reviewed,1548486022110,"M 2.8 - 21km SSW of Boca de Yuma, Dominican Republic",0,earthquake,-240.0,1555089323040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019026004
1986,,"[-144.9117, 69.3335, 7.1]",,019173w6fc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019173w6fc&format=geojson,,1.2,ml,",ak019173w6fc,",,,,ak,,0.54,"102km SSW of Kaktovik, Alaska",22,",ak,",reviewed,1548485937361,"M 1.2 - 102km SSW of Kaktovik, Alaska",0,earthquake,-540.0,1549300906512,https://earthquake.usgs.gov/earthquakes/eventpage/ak019173w6fc
1987,,"[-155.0448333, 19.3456667, 4.06]",,70784976,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70784976&format=geojson,0.06328,2.03,ml,",hv70784976,",,187.0,,hv,43.0,0.14,"18km SSE of Fern Acres, Hawaii",63,",hv,",reviewed,1548485634500,"M 2.0 - 18km SSE of Fern Acres, Hawaii",0,earthquake,-600.0,1548713009170,https://earthquake.usgs.gov/earthquakes/eventpage/hv70784976
1988,,"[-146.422, 64.4701, 13.4]",,019173undr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019173undr&format=geojson,,1.0,ml,",ak019173undr,",,,,ak,,0.6,"23km ESE of Salcha, Alaska",15,",ak,",reviewed,1548485504131,"M 1.0 - 23km ESE of Salcha, Alaska",0,earthquake,-540.0,1549300866728,https://earthquake.usgs.gov/earthquakes/eventpage/ak019173undr
1989,,"[-116.738, 33.7141667, 17.63]",,38205815,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205815&format=geojson,0.02009,1.0,ml,",ci38205815,",,34.0,,ci,37.0,0.18,"3km SSW of Idyllwild, CA",15,",ci,",reviewed,1548485302350,"M 1.0 - 3km SSW of Idyllwild, CA",0,earthquake,-480.0,1548687376075,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205815
1990,,"[-119.7758, 39.1325, 8.6]",,00675655,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00675655&format=geojson,0.05,1.2,ml,",nn00675655,",,47.82,,nn,21.0,0.1414,"3km SSW of Carson City, Nevada",22,",nn,",reviewed,1548485270929,"M 1.2 - 3km SSW of Carson City, Nevada",0,earthquake,-480.0,1548544994474,https://earthquake.usgs.gov/earthquakes/eventpage/nn00675655
1991,,"[-151.7543, 61.2329, 78]",,019173tqo7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019173tqo7&format=geojson,,1.7,ml,",ak019173tqo7,",,,,ak,,0.47,"65km NNW of Nikiski, Alaska",44,",ak,",reviewed,1548485240132,"M 1.7 - 65km NNW of Nikiski, Alaska",0,earthquake,-540.0,1549300865998,https://earthquake.usgs.gov/earthquakes/eventpage/ak019173tqo7
1992,,"[-116.7855, 33.4818333, 4.15]",,38205807,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38205807&format=geojson,0.03289,0.74,ml,",ci38205807,",,42.0,,ci,29.0,0.2,"9km ENE of Aguanga, CA",8,",ci,",reviewed,1548485203110,"M 0.7 - 9km ENE of Aguanga, CA",0,earthquake,-480.0,1548687461850,https://earthquake.usgs.gov/earthquakes/eventpage/ci38205807
1993,,"[-150.6281, 59.121, 52]",,019173t5ar,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019173t5ar&format=geojson,,2.2,ml,",ak019173t5ar,",,,,ak,,0.51,"78km SE of Homer, Alaska",74,",ak,",reviewed,1548485083003,"M 2.2 - 78km SE of Homer, Alaska",0,earthquake,-540.0,1549300865183,https://earthquake.usgs.gov/earthquakes/eventpage/ak019173t5ar
